Gender,Weight,Send,Completed,CR,Ease_Of_Use,Telegram_SF,Bots_SF,SRSI_Use_Me,SR_Diligence,SUS_raw,SUS,Burden,SR_Diligence_1,SR_Diligence_2,SR_Diligence_3,SR_Diligence_4,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Burden_1,Burden_2,Burden_3
M,"1,132",24,22,"0,92",7,5,5,1,20,50,"1,00",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1
M,"1,132",24,21,"0,88",6,5,4,1,20,43,"0,86",8,5,5,5,5,4,4,5,4,4,4,5,5,4,4,3,2,3
M,"1,132",24,24,"1,00",6,5,4,1,20,50,"1,00",7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2
M,"1,132",24,23,"0,96",7,5,3,1,14,50,"1,00",5,4,5,1,4,5,5,5,5,5,5,5,5,5,5,2,1,2
F,"0,91",24,19,"0,79",6,4,4,1,18,42,"0,84",5,5,4,5,4,4,4,4,5,4,4,5,5,4,3,3,1,1
F,"0,91",24,24,"1,00",7,4,4,1,17,49,"0,98",4,5,5,2,5,4,5,5,5,5,5,5,5,5,5,2,1,1
F,"0,91",24,23,"0,96",7,5,4,1,13,40,"0,80",8,4,3,2,4,3,4,4,4,4,4,4,4,5,4,3,2,3
M,"1,132",24,17,"0,71",7,4,4,1,17,45,"0,90",7,3,5,5,4,3,5,5,5,4,5,4,5,5,4,3,3,1
M,"1,132",24,24,"1,00",7,5,5,1,18,50,"1,00",4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,2,1,1
F,"0,91",24,24,"1,00",7,4,4,1,20,49,"0,98",3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1
M,"1,132",24,24,"1,00",7,5,4,1,20,50,"1,00",7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2
F,"0,91",24,24,"1,00",7,5,5,1,20,49,"0,98",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,1,2
F,"0,91",24,23,"0,96",7,5,5,1,15,49,"0,98",7,4,4,4,3,4,5,5,5,5,5,5,5,5,5,3,2,2
F,"0,91",24,18,"0,75",7,5,4,1,14,50,"1,00",5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,3,1,1
M,"1,132",24,24,"1,00",6,5,4,1,17,41,"0,82",7,4,5,4,4,4,4,4,5,4,4,4,4,4,4,2,3,2
M,"1,132",24,23,"0,96",6,5,4,1,18,47,"0,94",5,4,4,5,5,4,5,5,5,4,5,4,5,5,5,2,2,1
F,"0,91",24,23,"0,96",6,5,5,1,18,48,"0,96",7,5,4,4,5,5,5,5,5,4,4,5,5,5,5,3,2,2
F,"0,91",24,22,"0,92",5,4,3,1,15,38,"0,76",8,4,4,3,4,2,4,4,4,4,4,4,4,4,4,3,2,3
F,"0,91",24,23,"0,96",6,5,3,1,17,46,"0,92",5,5,5,3,4,5,5,4,5,4,5,4,5,4,5,2,2,1
F,"0,91",24,24,"1,00",7,5,4,1,18,46,"0,92",5,4,5,5,4,3,5,5,5,5,5,5,5,4,4,3,1,1
M,"1,132",24,22,"0,92",6,4,4,1,14,39,"0,78",10,4,3,3,4,2,4,4,5,4,4,4,4,4,4,4,2,4
F,"0,91",24,22,"0,92",6,5,3,1,12,48,"0,96",8,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,1,2
M,"1,132",24,24,"1,00",6,5,3,1,15,44,"0,88",12,3,4,4,4,4,4,4,5,4,4,5,4,5,5,5,3,4
M,"1,132",24,23,"0,96",7,5,4,1,14,43,"0,86",5,4,4,3,3,4,4,5,5,4,4,5,4,4,4,3,1,1
F,"0,91",24,23,"0,96",7,5,4,1,14,43,"0,86",4,4,4,4,2,3,5,5,5,3,4,5,4,5,4,2,1,1
F,"0,91",24,23,"0,96",6,4,3,1,14,46,"0,92",3,4,3,3,4,3,5,5,5,3,5,5,5,5,5,1,1,1
F,"0,91",24,22,"0,92",6,5,4,1,13,40,"0,80",10,4,3,3,3,3,4,5,5,3,4,4,4,4,4,4,3,3
F,"0,91",24,24,"1,00",6,4,3,1,17,46,"0,92",5,4,4,5,4,4,5,5,5,4,5,4,5,5,4,3,1,1
M,"1,132",24,24,"1,00",6,5,4,1,13,48,"0,96",7,4,2,4,3,4,5,5,4,5,5,5,5,5,5,3,2,2
F,"0,91",24,24,"1,00",6,4,4,1,19,45,"0,90",3,5,4,5,5,,5,5,5,5,5,5,5,5,5,1,1,1
F,"0,91",24,23,"0,96",7,4,1,1,15,42,"0,84",6,4,4,3,4,4,5,5,4,4,4,4,4,4,4,3,1,2
F,"0,91",24,21,"0,88",7,5,3,1,17,46,"0,92",5,5,4,4,4,2,5,5,5,5,5,4,5,5,5,2,1,2
