Gender,Send,Completed,CR
M,24,23,"0,96"
M,24,21,"0,88"
M,24,22,"0,92"
M,24,24,"1,00"
M,24,22,"0,92"
M,24,24,"1,00"
M,24,22,"0,92"
M,24,21,"0,88"
M,24,22,"0,92"
M,24,24,"1,00"
M,24,17,"0,71"
M,24,20,"0,83"
M,24,20,"0,83"
M,24,17,"0,71"
M,24,23,"0,96"
M,24,23,"0,96"
M,24,21,"0,88"
M,24,24,"1,00"
M,24,21,"0,88"
F,24,23,"0,96"
F,24,23,"0,96"
F,24,17,"0,71"
F,24,22,"0,92"
F,24,16,"0,67"
F,24,24,"1,00"
F,24,22,"0,92"
F,24,23,"0,96"
F,24,24,"1,00"
F,24,24,"1,00"
F,24,19,"0,79"
F,24,21,"0,88"
F,24,22,"0,92"
F,24,19,"0,79"
F,24,21,"0,88"
F,24,23,"0,96"
F,24,17,"0,71"
F,24,19,"0,79"
F,24,13,"0,54"
